id,sigma,misorientation_angle_deg,axis_h,axis_k,axis_l,plane_h,plane_k,plane_l,gb_type
107,83,17.86028367,1,1,0,-9,9,2,tilt
108,85,8.79741071,1,0,0,-1,0,0,tilt
109,85,8.79741071,1,0,0,0,-13,-1,tilt
110,85,8.79741071,1,0,0,0,-6,-7,tilt
111,87,19.51934452,2,1,0,2,1,0,twist
112,87,19.51934452,2,1,0,-1,2,-13,tilt
113,89,25.98923358,1,0,0,-1,0,0,tilt
114,89,25.98923358,1,0,0,0,-13,-3,tilt
115,89,25.98923358,1,0,0,0,-5,-8,tilt
116,91,10.41743821,1,1,1,1,1,1,twist
117,91,10.41743821,1,1,1,-9,-1,10,tilt
118,93,42.10344887,1,1,1,1,1,1,twist
119,93,42.10344887,1,1,1,-11,7,4,tilt
120,95,86.98303869,3,1,0,3,1,0,twist
121,95,86.98303869,3,1,0,3,-9,10,tilt
122,97,42.07502205,1,0,0,-1,0,0,tilt
123,97,42.07502205,1,0,0,0,-13,-5,tilt
124,97,42.07502205,1,0,0,0,-4,-9,tilt
125,99,11.53636237,1,1,0,-7,7,1,tilt
126,99,11.53636237,1,1,0,-1,-1,0,tilt
127,99,11.53636237,1,1,0,-1,1,-14,tilt
128,101,11.42118627,1,0,0,-1,0,0,tilt
129,101,11.42118627,1,0,0,0,-9,-11,tilt
130,101,11.42118627,1,0,0,0,1,-10,tilt
131,103,19.65285963,1,1,1,1,1,1,twist
132,103,19.65285963,1,1,1,2,-11,9,tilt
133,105,25.2087653,2,1,0,2,1,0,twist
134,105,25.2087653,2,1,0,1,-2,10,tilt
135,107,33.71842015,1,1,0,-7,7,3,tilt
136,107,33.71842015,1,1,0,-1,-1,0,tilt
137,107,33.71842015,1,1,0,-3,3,-14,tilt
138,109,33.39848847,1,0,0,-1,0,0,tilt
139,109,33.39848847,1,0,0,0,-7,-13,tilt
140,109,33.39848847,1,0,0,0,3,-10,tilt
141,111,9.430007908,1,1,1,1,1,1,twist
142,111,9.430007908,1,1,1,-11,10,1,tilt
143,113,7.628149669,1,0,0,-1,0,0,tilt
144,113,7.628149669,1,0,0,0,-15,-1,tilt
145,113,7.628149669,1,0,0,0,-7,-8,tilt
146,115,16.95742629,2,1,0,2,1,0,twist
147,115,16.95742629,2,1,0,-1,2,-15,tilt
148,117,22.61986495,2,2,1,2,2,1,twist
149,117,22.61986495,2,2,1,-8,7,2,tilt
150,119,27.03156212,3,2,0,3,2,0,twist
151,119,27.03156212,3,2,0,-2,3,-15,tilt
152,121,79.04239272,1,1,0,-6,6,7,tilt
153,121,79.04239272,1,1,0,-1,-1,0,tilt
154,121,79.04239272,1,1,0,7,-7,12,tilt
155,123,14.65207391,1,1,0,-1,1,-11,tilt
156,123,14.65207391,1,1,0,-1,-1,0,tilt
157,123,14.65207391,1,1,0,-11,11,2,tilt
158,125,20.60969294,1,0,0,-1,0,0,tilt
159,125,20.60969294,1,0,0,0,-9,-13,tilt
160,125,20.60969294,1,0,0,0,2,-11,tilt
161,127,54.91415219,1,1,1,1,1,1,twist
162,127,54.91415219,1,1,1,6,-13,7,tilt
163,129,10.10230506,1,1,0,-8,8,1,tilt
164,129,10.10230506,1,1,0,-1,-1,0,tilt
165,129,10.10230506,1,1,0,-1,1,-16,tilt
166,131,76.31161308,1,1,0,-5,5,-9,tilt
167,131,76.31161308,1,1,0,-1,-1,0,tilt
168,131,76.31161308,1,1,0,-9,9,10,tilt
169,133,8.613238191,1,1,1,1,1,1,twist
170,133,8.613238191,1,1,1,1,-12,11,tilt
171,135,144.5690553,2,1,0,2,1,0,twist
172,135,144.5690553,2,1,0,-7,14,-5,tilt
173,137,39.96621304,1,0,0,-1,0,0,tilt
174,137,39.96621304,1,0,0,0,-7,-15,tilt
175,137,39.96621304,1,0,0,0,4,-11,tilt
176,139,42.18271612,1,1,0,-3,3,-11,tilt
177,139,42.18271612,1,1,0,-1,-1,0,tilt
178,139,42.18271612,1,1,0,-11,11,6,tilt
179,141,44.24916959,2,1,0,2,1,0,twist
180,141,44.24916959,2,1,0,2,-4,11,tilt
181,143,68.24556257,3,1,0,3,1,0,twist
182,143,68.24556257,3,1,0,3,-9,14,tilt
183,145,6.732921327,1,0,0,-1,0,0,tilt
184,145,6.732921327,1,0,0,0,-17,-1,tilt
185,145,6.732921327,1,0,0,0,-8,-9,tilt
186,147,16.4264214,1,1,1,1,1,1,twist
187,147,16.4264214,1,1,1,2,-13,11,tilt
188,149,20.0159596,1,0,0,-1,0,0,tilt
189,149,20.0159596,1,0,0,0,-17,-3,tilt
190,149,20.0159596,1,0,0,0,-7,-10,tilt
191,151,41.26600217,1,1,1,1,1,1,twist
192,151,41.26600217,1,1,1,5,-14,9,tilt
193,153,47.68527205,1,1,0,-8,8,5,tilt
194,153,47.68527205,1,1,0,-1,-1,0,tilt
195,153,47.68527205,1,1,0,-5,5,-16,tilt
196,155,49.33668147,2,1,1,2,1,1,twist
197,155,49.33668147,2,1,1,-3,11,-5,tilt
198,157,32.77908067,1,0,0,-1,0,0,tilt
199,157,32.77908067,1,0,0,0,-17,-5,tilt
200,157,32.77908067,1,0,0,0,-6,-11,tilt
201,159,152.4729147,2,1,1,2,1,1,twist
202,159,152.4729147,2,1,1,-10,13,7,tilt
203,161,89.6441233,2,1,0,2,1,0,twist
204,161,89.6441233,2,1,0,-4,8,-9,tilt
205,163,8.984706445,1,1,0,-9,9,1,tilt
206,163,8.984706445,1,1,0,-1,-1,0,tilt
207,163,8.984706445,1,1,0,-1,1,-18,tilt
208,165,15.49873276,2,1,1,2,1,1,twist
209,165,15.49873276,2,1,1,1,-10,8,tilt
210,167,43.06840716,2,1,0,2,1,0,twist
211,167,43.06840716,2,1,0,-3,6,-17,tilt
212,169,44.7602701,1,0,0,-1,0,0,tilt
213,169,44.7602701,1,0,0,0,-17,-7,tilt
214,169,44.7602701,1,0,0,0,-5,-12,tilt
215,171,12.41708925,1,1,0,-1,1,-13,tilt
216,171,12.41708925,1,1,0,-1,-1,0,tilt
217,171,12.41708925,1,1,0,-13,13,2,tilt
218,173,17.49232453,1,0,0,-1,0,0,tilt
219,173,17.49232453,1,0,0,0,-11,-15,tilt
220,173,17.49232453,1,0,0,0,2,-13,tilt
221,175,21.34139053,2,1,1,2,1,1,twist
222,175,21.34139053,2,1,1,2,-15,11,tilt
223,177,24.54924382,1,1,0,-2,2,-13,tilt
224,177,24.54924382,1,1,0,-1,-1,0,tilt
225,177,24.54924382,1,1,0,-13,13,4,tilt
226,179,84.5502879,1,1,0,-7,7,9,tilt
227,179,84.5502879,1,1,0,-1,-1,0,tilt
228,179,84.5502879,1,1,0,-9,9,-14,tilt
229,181,6.025575008,1,0,0,-1,0,0,tilt
230,181,6.025575008,1,0,0,0,-19,-1,tilt
231,181,6.025575008,1,0,0,0,-9,-10,tilt
232,183,7.340993017,1,1,1,1,1,1,twist
233,183,7.340993017,1,1,1,-14,13,1,tilt
234,185,17.94525323,1,0,0,-1,0,0,tilt
235,185,17.94525323,1,0,0,0,-19,-3,tilt
236,185,17.94525323,1,0,0,0,-8,-11,tilt
237,187,36.14890968,1,1,0,-3,3,-13,tilt
238,187,36.14890968,1,1,0,-1,-1,0,tilt
239,187,36.14890968,1,1,0,-13,13,6,tilt
240,189,37.96750571,2,1,0,2,1,0,twist
241,189,37.96750571,2,1,0,-2,4,-13,tilt
242,191,114.2673397,3,1,1,3,1,1,twist
243,191,114.2673397,3,1,1,-7,18,3,tilt
244,193,29.48712567,1,0,0,-1,0,0,tilt
245,193,29.48712567,1,0,0,0,-19,-5,tilt
246,193,29.48712567,1,0,0,0,-7,-12,tilt
247,195,42.83342807,5,1,0,5,1,0,twist
248,195,42.83342807,5,1,0,-1,5,-13,tilt
249,197,8.17123356,1,0,0,-1,0,0,tilt
250,197,8.17123356,1,0,0,0,-13,-15,tilt
251,197,8.17123356,1,0,0,0,1,-14,tilt
252,199,14.10535405,1,1,1,-13,-2,15,tilt
253,199,14.10535405,1,1,1,1,1,1,twist
254,201,8.089382471,1,1,0,-10,10,1,tilt
255,201,8.089382471,1,1,0,-1,-1,0,tilt
256,201,8.089382471,1,1,0,-1,1,-20,tilt
257,203,38.89251997,2,1,0,2,1,0,twist
258,203,38.89251997,2,1,0,-3,6,-19,tilt
259,205,24.1895142,1,0,0,-1,0,0,tilt
260,205,24.1895142,1,0,0,0,-11,-17,tilt
261,205,24.1895142,1,0,0,0,3,-14,tilt
262,207,66.6632035,2,1,0,2,1,0,twist
263,207,66.6632035,2,1,0,-5,10,-17,tilt
264,209,23.95345162,1,1,0,-10,10,3,tilt
265,209,23.95345162,1,1,0,-1,-1,0,tilt
266,209,23.95345162,1,1,0,-3,3,-20,tilt
267,211,57.61911887,1,1,0,-9,9,7,tilt
268,211,57.61911887,1,1,0,-1,-1,0,tilt
269,211,57.61911887,1,1,0,-7,7,-18,tilt
270,213,13.04872696,3,1,1,3,1,1,twist
271,213,13.04872696,3,1,1,1,-16,13,tilt
272,215,152.0945272,2,1,0,2,1,0,twist
273,215,152.0945272,2,1,0,-9,18,-5,tilt
274,217,20.31665957,1,1,1,1,1,1,twist
275,217,20.31665957,1,1,1,3,-16,13,tilt
276,219,57.0860407,1,1,0,-5,5,-13,tilt
277,219,57.0860407,1,1,0,-1,-1,0,tilt
278,219,57.0860407,1,1,0,-13,13,10,tilt
279,221,5.452621988,1,0,0,-1,0,0,tilt
280,221,5.452621988,1,0,0,0,-21,-1,tilt
281,221,5.452621988,1,0,0,0,-10,-11,tilt
282,223,40.7251931,1,1,1,1,1,1,twist
283,223,40.7251931,1,1,1,-11,-6,17,tilt
284,225,16.26020471,2,2,1,2,2,1,twist
285,225,16.26020471,2,2,1,-11,10,2,tilt
286,227,10.7719542,1,1,0,-1,1,-15,tilt
287,227,10.7719542,1,1,0,-1,-1,0,tilt
288,227,10.7719542,1,1,0,-15,15,2,tilt
289,229,15.18928674,1,0,0,-1,0,0,tilt
290,229,15.18928674,1,0,0,0,-13,-17,tilt
291,229,15.18928674,1,0,0,0,2,-15,tilt
292,231,18.54899961,2,1,1,2,1,1,twist
293,231,18.54899961,2,1,1,2,-17,13,tilt
294,233,26.78499551,1,0,0,-1,0,0,tilt
295,233,26.78499551,1,0,0,0,-21,-5,tilt
296,233,26.78499551,1,0,0,0,-8,-13,tilt
297,235,92.43885469,2,1,0,2,1,0,twist
298,235,92.43885469,2,1,0,7,-14,15,tilt
299,237,26.00782389,1,1,1,1,1,1,twist
300,237,26.00782389,1,1,1,-17,13,4,tilt
301,239,59.3055083,3,2,0,3,2,0,twist
302,239,59.3055083,3,2,0,6,-9,19,tilt
303,241,29.86283436,1,0,0,-1,0,0,tilt
304,241,29.86283436,1,0,0,0,-11,-19,tilt
305,241,29.86283436,1,0,0,0,4,-15,tilt
306,243,7.356103172,1,1,0,-11,11,1,tilt
307,243,7.356103172,1,1,0,-1,-1,0,tilt
308,243,7.356103172,1,1,0,-1,1,-22,tilt
309,245,33.2030992,2,1,0,2,1,0,twist
310,245,33.2030992,2,1,0,2,-4,15,tilt
311,247,19.0306764,1,1,1,1,1,1,twist
312,247,19.0306764,1,1,1,-14,-3,17,tilt
313,249,52.66849569,1,1,0,-10,10,7,tilt
314,249,52.66849569,1,1,0,-1,-1,0,tilt
315,249,52.66849569,1,1,0,-7,7,-20,tilt
316,251,21.83067784,1,1,0,-11,11,3,tilt
317,251,21.83067784,1,1,0,-1,-1,0,tilt
318,251,21.83067784,1,1,0,-3,3,-22,tilt
319,253,89.3205875,3,1,0,3,1,0,twist
320,253,89.3205875,3,1,0,5,-15,16,tilt
321,255,26.09848403,5,1,0,5,1,0,twist
322,255,26.09848403,5,1,0,1,-5,22,tilt
323,257,7.15266875,1,0,0,-1,0,0,tilt
324,257,7.15266875,1,0,0,0,-15,-17,tilt
325,257,7.15266875,1,0,0,0,1,-16,tilt
326,259,12.35678139,1,1,1,1,1,1,twist
327,259,12.35678139,1,1,1,2,-17,15,tilt
328,261,15.91160017,2,1,0,2,1,0,twist
329,261,15.91160017,2,1,0,1,-2,16,tilt
330,263,122.6784622,2,1,0,2,1,0,twist
331,263,122.6784622,2,1,0,-9,18,-11,tilt
332,265,4.979105844,1,0,0,-1,0,0,tilt
333,265,4.979105844,1,0,0,0,-23,-1,tilt
334,265,4.979105844,1,0,0,0,-11,-12,tilt
335,267,35.63607469,1,1,0,-11,11,5,tilt
336,267,35.63607469,1,1,0,-1,-1,0,tilt
337,267,35.63607469,1,1,0,-5,5,-22,tilt
338,269,14.86281594,1,0,0,-1,0,0,tilt
339,269,14.86281594,1,0,0,0,-23,-3,tilt
340,269,14.86281594,1,0,0,0,-10,-13,tilt
341,271,56.51899391,1,1,1,1,1,1,twist
342,271,56.51899391,1,1,1,9,-19,10,tilt
343,273,6.008983198,1,1,1,1,1,1,twist
344,273,6.008983198,1,1,1,-16,-1,17,tilt
345,275,93.9617737,2,1,1,2,1,1,twist
346,275,93.9617737,2,1,1,-7,15,-1,tilt
347,277,24.5295475,1,0,0,-1,0,0,tilt
348,277,24.5295475,1,0,0,0,-23,-5,tilt
349,277,24.5295475,1,0,0,0,-9,-14,tilt
350,279,59.52459442,3,1,1,3,1,1,twist
351,279,59.52459442,3,1,1,5,-22,7,tilt
352,281,34.70804927,1,0,0,-1,0,0,tilt
353,281,34.70804927,1,0,0,0,-11,-21,tilt
354,281,34.70804927,1,0,0,0,5,-16,tilt
355,283,81.66988248,1,1,0,-9,9,11,tilt
356,283,81.66988248,1,1,0,-1,-1,0,tilt
357,283,81.66988248,1,1,0,-11,11,-18,tilt
358,285,31.11405491,4,4,3,4,4,3,twist
359,285,31.11405491,4,4,3,-13,10,4,tilt
360,287,32.51981525,2,1,0,2,1,0,twist
361,287,32.51981525,2,1,0,-3,6,-23,tilt
362,289,33.85502613,1,0,0,-1,0,0,tilt
363,289,33.85502613,1,0,0,0,-23,-7,tilt
364,289,33.85502613,1,0,0,0,-8,-15,tilt
365,291,9.510861633,1,1,0,-1,1,-17,tilt
366,291,9.510861633,1,1,0,-1,-1,0,tilt
367,291,9.510861633,1,1,0,-17,17,2,tilt
368,293,13.41967362,1,0,0,-1,0,0,tilt
369,293,13.41967362,1,0,0,0,-15,-19,tilt
370,293,13.41967362,1,0,0,0,2,-17,tilt
371,295,16.39836443,2,1,1,2,1,1,twist
372,295,16.39836443,2,1,1,2,-19,15,tilt
373,297,18.89246554,1,1,0,-2,2,-17,tilt
374,297,18.89246554,1,1,0,-1,-1,0,tilt
375,297,18.89246554,1,1,0,-17,17,4,tilt
376,299,21.07502491,3,1,0,-1,3,-17,tilt
377,299,21.07502491,3,1,0,3,1,0,twist
378,3,70.52877937,1,1,0,2,-2,1,asymmetric_tilt
379,3,70.52877937,1,1,0,0,0,-1,asymmetric_tilt
380,5,36.86989765,1,0,0,1,3,1,asymmetric_tilt
381,5,36.86989765,1,0,0,1,1,2,asymmetric_tilt
382,7,38.2132107,1,1,1,-2,2,-3,mixed
383,7,38.2132107,1,1,1,0,-4,1,mixed
384,9,38.94244127,1,1,0,3,-1,-1,asymmetric_tilt
385,9,38.94244127,1,1,0,1,-1,1,asymmetric_tilt
386,11,50.47880364,1,1,0,2,0,3,asymmetric_tilt
387,11,50.47880364,1,1,0,4,-4,1,asymmetric_tilt
388,13,22.61986495,1,0,0,1,5,1,asymmetric_tilt
389,13,22.61986495,1,0,0,1,2,3,asymmetric_tilt
390,15,48.1896851,2,1,0,-1,-3,5,mixed
391,15,48.1896851,2,1,0,-3,-4,5,mixed
392,17,28.07248694,1,0,0,1,3,5,asymmetric_tilt
393,17,28.07248694,1,0,0,1,-1,4,asymmetric_tilt
394,19,26.52535202,1,1,0,4,-2,-1,asymmetric_tilt
395,19,26.52535202,1,1,0,4,-4,5,asymmetric_tilt
396,21,21.7867893,1,1,1,-2,4,-5,mixed
397,21,21.7867893,1,1,1,0,-2,1,mixed
398,23,163.0425737,2,1,0,1,-7,1,mixed
399,23,163.0425737,2,1,0,-5,5,-1,mixed
400,25,16.26020471,1,0,0,1,7,1,asymmetric_tilt
401,25,16.26020471,1,0,0,1,3,4,asymmetric_tilt
402,27,31.5863381,1,1,0,2,0,5,asymmetric_tilt
403,27,31.5863381,1,1,0,2,-2,1,asymmetric_tilt
404,29,43.60281897,1,0,0,1,3,7,asymmetric_tilt
405,29,43.60281897,1,0,0,1,-2,5,asymmetric_tilt
406,31,17.89655113,1,1,1,-2,5,-6,mixed
407,31,17.89655113,1,1,1,0,-7,4,mixed
408,33,20.04997572,1,1,0,5,-3,-1,asymmetric_tilt
409,33,20.04997572,1,1,0,5,-5,7,asymmetric_tilt
410,35,106.6015496,2,1,0,-1,1,-1,mixed
411,35,106.6015496,2,1,0,1,-7,5,mixed
412,37,18.92464442,1,0,0,1,5,7,asymmetric_tilt
413,37,18.92464442,1,0,0,1,-1,6,asymmetric_tilt
414,39,32.2042275,1,1,1,2,-2,-1,mixed
415,39,32.2042275,1,1,1,-8,4,1,mixed
416,41,12.68038349,1,0,0,1,9,1,asymmetric_tilt
417,41,12.68038349,1,0,0,1,4,5,asymmetric_tilt
418,43,80.63108442,1,1,0,4,-2,5,asymmetric_tilt
419,43,80.63108442,1,1,0,8,-8,-1,asymmetric_tilt
420,45,83.62062979,2,1,0,-4,3,-5,mixed
421,45,83.62062979,2,1,0,0,-1,1,mixed
422,47,87.56114531,2,1,0,1,-7,7,mixed
423,47,87.56114531,2,1,0,-5,5,-7,mixed
424,49,43.5735786,1,1,1,4,2,-9,mixed
425,49,43.5735786,1,1,1,-6,-4,7,mixed
426,51,16.09893395,1,1,0,6,-4,-1,asymmetric_tilt
427,51,16.09893395,1,1,0,2,-2,3,asymmetric_tilt
428,53,31.8907918,1,0,0,1,5,9,asymmetric_tilt
429,53,31.8907918,1,0,0,1,-2,7,asymmetric_tilt
430,55,38.57265082,2,1,1,-2,4,-3,mixed
431,55,38.57265082,2,1,1,0,-5,2,mixed
432,57,44.00342735,1,1,0,3,-1,7,asymmetric_tilt
433,57,44.00342735,1,1,0,3,-3,1,asymmetric_tilt
434,59,45.97953555,1,1,0,6,-4,-3,asymmetric_tilt
435,59,45.97953555,1,1,0,8,-8,7,asymmetric_tilt
436,61,10.38885782,1,0,0,1,11,1,asymmetric_tilt
437,61,10.38885782,1,0,0,1,5,6,asymmetric_tilt
438,63,22.98091981,2,1,0,-1,-3,11,mixed
439,63,22.98091981,2,1,0,-3,-4,11,mixed
440,65,14.2500327,1,0,0,1,7,9,asymmetric_tilt
441,65,14.2500327,1,0,0,1,-1,8,asymmetric_tilt
442,67,62.43939689,1,1,0,4,-2,7,asymmetric_tilt
443,67,62.43939689,1,1,0,10,-10,1,asymmetric_tilt
444,69,31.23225881,2,1,0,-3,1,-8,mixed
445,69,31.23225881,2,1,0,-5,0,-8,mixed
446,71,159.4914172,3,1,1,2,-10,-7,mixed
447,71,159.4914172,3,1,1,-8,8,5,mixed
448,73,41.11209044,1,0,0,1,5,11,asymmetric_tilt
449,73,41.11209044,1,0,0,1,-3,8,asymmetric_tilt
450,75,23.07391807,2,1,1,-1,-8,4,mixed
451,75,23.07391807,2,1,1,-1,2,-2,mixed
452,77,72.62038319,2,1,1,1,-9,1,mixed
453,77,72.62038319,2,1,1,-5,7,-3,mixed
454,79,33.99217611,1,1,1,-4,9,-8,mixed
455,79,33.99217611,1,1,1,2,-11,6,mixed
456,81,77.88488254,1,1,0,5,-3,7,asymmetric_tilt
457,81,77.88488254,1,1,0,11,-11,-1,asymmetric_tilt
458,83,17.8602837,1,1,0,2,0,9,asymmetric_tilt
459,83,17.8602837,1,1,0,10,-10,7,asymmetric_tilt
460,85,8.79741071,1,0,0,1,13,1,asymmetric_tilt
461,85,8.79741071,1,0,0,1,6,7,asymmetric_tilt
462,87,19.51934452,2,1,0,-1,-3,13,mixed
463,87,19.51934452,2,1,0,-3,-4,13,mixed
464,89,25.98923358,1,0,0,1,13,3,asymmetric_tilt
465,89,25.98923358,1,0,0,1,5,8,asymmetric_tilt
466,91,10.4174382,1,1,1,8,0,-11,mixed
467,91,10.4174382,1,1,1,-10,-2,9,mixed
468,93,42.1034489,1,1,1,10,-8,-5,mixed
469,93,42.1034489,1,1,1,-4,2,1,mixed
470,95,86.9830387,3,1,0,-3,4,-5,mixed
471,95,86.9830387,3,1,0,0,-1,1,mixed
472,97,42.0750221,1,0,0,1,13,5,asymmetric_tilt
473,97,42.0750221,1,0,0,1,4,9,asymmetric_tilt
474,99,11.53636237,1,1,0,8,-6,-1,asymmetric_tilt
475,99,11.53636237,1,1,0,8,-8,13,asymmetric_tilt
476,101,11.42118627,1,0,0,1,9,11,asymmetric_tilt
477,101,11.42118627,1,0,0,1,-1,10,asymmetric_tilt
478,103,19.65285963,1,1,1,-3,10,-10,mixed
479,103,19.65285963,1,1,1,1,-12,8,mixed
480,105,25.2087653,2,1,0,-3,1,-10,mixed
481,105,25.2087653,2,1,0,-1,0,-2,mixed
482,107,33.71842015,1,1,0,8,-6,-3,asymmetric_tilt
483,107,33.71842015,1,1,0,10,-10,11,asymmetric_tilt
484,109,33.39848847,1,0,0,1,7,13,asymmetric_tilt
485,109,33.39848847,1,0,0,1,-3,10,asymmetric_tilt
486,111,9.430007908,1,1,1,10,-11,-2,mixed
487,111,9.430007908,1,1,1,-4,3,0,mixed
488,113,7.628149669,1,0,0,1,15,1,asymmetric_tilt
489,113,7.628149669,1,0,0,1,7,8,asymmetric_tilt
490,115,16.95742629,2,1,0,-1,-3,15,mixed
491,115,16.95742629,2,1,0,-3,-4,15,mixed
492,117,22.61986495,2,2,1,2,-3,-1,mixed
493,117,22.61986495,2,2,1,-10,5,1,mixed
494,119,27.03156212,3,2,0,-1,-5,15,mixed
495,119,27.03156212,3,2,0,-4,-7,15,mixed
496,121,79.04239272,1,1,0,7,-5,-7,asymmetric_tilt
497,121,79.04239272,1,1,0,-1,1,-19,asymmetric_tilt
498,123,14.6520739,1,1,0,2,0,11,asymmetric_tilt
499,123,14.6520739,1,1,0,4,-4,3,asymmetric_tilt
500,125,20.6096929,1,0,0,1,9,13,asymmetric_tilt
501,125,20.6096929,1,0,0,1,-2,11,asymmetric_tilt
502,127,54.91415219,1,1,1,-7,12,-8,mixed
503,127,54.91415219,1,1,1,5,-14,6,mixed
504,129,10.10230506,1,1,0,9,-7,-1,asymmetric_tilt
505,129,10.10230506,1,1,0,3,-3,5,asymmetric_tilt
506,131,76.31161308,1,1,0,6,-4,9,asymmetric_tilt
507,131,76.31161308,1,1,0,14,-14,-1,asymmetric_tilt
508,133,8.613238191,1,1,1,-2,11,-12,mixed
509,133,8.613238191,1,1,1,0,-13,10,mixed
510,135,144.5690553,2,1,0,1,-3,1,mixed
511,135,144.5690553,2,1,0,-9,13,-5,mixed
512,137,39.96621304,1,0,0,1,7,15,asymmetric_tilt
513,137,39.96621304,1,0,0,1,-4,11,asymmetric_tilt
514,139,42.18271612,1,1,0,4,-2,11,asymmetric_tilt
515,139,42.18271612,1,1,0,14,-14,5,asymmetric_tilt
516,141,44.24916959,2,1,0,-4,3,-11,mixed
517,141,44.24916959,2,1,0,0,-5,11,mixed
518,143,68.24556257,3,1,0,-3,4,-7,mixed
519,143,68.24556257,3,1,0,0,-5,7,mixed
520,145,6.732921327,1,0,0,1,17,1,asymmetric_tilt
521,145,6.732921327,1,0,0,1,8,9,asymmetric_tilt
522,147,16.4264214,1,1,1,-1,4,-4,mixed
523,147,16.4264214,1,1,1,1,-14,10,mixed
524,149,20.0159596,1,0,0,1,17,3,asymmetric_tilt
525,149,20.0159596,1,0,0,1,7,10,asymmetric_tilt
526,151,41.2660022,1,1,1,-6,13,-10,mixed
527,151,41.2660022,1,1,1,4,-15,8,mixed
528,153,47.6852721,1,1,0,9,-7,-5,asymmetric_tilt
529,153,47.6852721,1,1,0,13,-13,11,asymmetric_tilt
530,155,49.33668147,2,1,1,1,-12,4,mixed
531,155,49.33668147,2,1,1,-5,10,-6,mixed
532,157,32.77908067,1,0,0,1,17,5,asymmetric_tilt
533,157,32.77908067,1,0,0,1,6,11,asymmetric_tilt
534,159,152.472915,2,1,1,4,-7,-4,mixed
535,159,152.472915,2,1,1,-2,2,1,mixed
536,161,89.6441233,2,1,0,2,-9,9,mixed
537,161,89.6441233,2,1,0,-6,7,-9,mixed
538,163,8.98470645,1,1,0,10,-8,-1,asymmetric_tilt
539,163,8.98470645,1,1,0,10,-10,17,asymmetric_tilt
540,165,15.49873276,2,1,1,-1,3,-3,mixed
541,165,15.49873276,2,1,1,-1,-11,7,mixed
542,167,43.06840716,2,1,0,1,-7,17,mixed
543,167,43.06840716,2,1,0,-5,5,-17,mixed
544,169,44.7602701,1,0,0,1,17,7,asymmetric_tilt
545,169,44.7602701,1,0,0,1,5,12,asymmetric_tilt
546,171,12.41708925,1,1,0,2,0,13,asymmetric_tilt
547,171,12.41708925,1,1,0,14,-14,11,asymmetric_tilt
548,173,17.49232453,1,0,0,1,11,15,asymmetric_tilt
549,173,17.49232453,1,0,0,1,-2,13,asymmetric_tilt
550,175,21.34139053,2,1,1,-2,7,-6,mixed
551,175,21.34139053,2,1,1,0,-8,5,mixed
552,177,24.54924382,1,1,0,3,-1,13,asymmetric_tilt
553,177,24.54924382,1,1,0,5,-5,3,asymmetric_tilt
554,179,84.5502879,1,1,0,8,-6,-9,asymmetric_tilt
555,179,84.5502879,1,1,0,16,-16,5,asymmetric_tilt
556,181,6.02557501,1,0,0,1,19,1,asymmetric_tilt
557,181,6.02557501,1,0,0,1,9,10,asymmetric_tilt
558,183,7.340993017,1,1,1,13,-14,-2,mixed
559,183,7.340993017,1,1,1,-5,4,0,mixed
560,185,17.94525323,1,0,0,1,19,3,asymmetric_tilt
561,185,17.94525323,1,0,0,1,8,11,asymmetric_tilt
562,187,36.14890968,1,1,0,4,-2,13,asymmetric_tilt
563,187,36.14890968,1,1,0,16,-16,7,asymmetric_tilt
564,189,37.96750571,2,1,0,0,-5,13,mixed
565,189,37.96750571,2,1,0,-4,3,-13,mixed
566,191,114.2673397,3,1,1,4,-19,-4,mixed
567,191,114.2673397,3,1,1,-10,17,2,mixed
568,193,29.48712567,1,0,0,1,19,5,asymmetric_tilt
569,193,29.48712567,1,0,0,1,7,12,asymmetric_tilt
570,195,42.83342807,5,1,0,-4,-6,13,mixed
571,195,42.83342807,5,1,0,-9,-7,13,mixed
572,197,8.17123356,1,0,0,1,13,15,asymmetric_tilt
573,197,8.17123356,1,0,0,1,-1,14,asymmetric_tilt
574,199,14.10535405,1,1,1,12,1,-16,mixed
575,199,14.10535405,1,1,1,-14,-3,14,mixed
576,201,8.089382471,1,1,0,11,-9,-1,asymmetric_tilt
577,201,8.089382471,1,1,0,11,-11,19,asymmetric_tilt
578,203,38.89252,2,1,0,1,-7,19,mixed
579,203,38.89252,2,1,0,-5,5,-19,mixed
580,205,24.1895142,1,0,0,1,11,17,asymmetric_tilt
581,205,24.1895142,1,0,0,1,-3,14,asymmetric_tilt
582,207,66.6632035,2,1,0,3,-11,17,mixed
583,207,66.6632035,2,1,0,-7,9,-17,mixed
584,209,23.95345162,1,1,0,11,-9,-3,asymmetric_tilt
585,209,23.95345162,1,1,0,13,-13,17,asymmetric_tilt
586,211,57.6191189,1,1,0,10,-8,-7,asymmetric_tilt
587,211,57.6191189,1,1,0,16,-16,11,asymmetric_tilt
588,213,13.048727,3,1,1,-4,15,-14,mixed
589,213,13.048727,3,1,1,-2,-17,12,mixed
590,215,152.094527,2,1,0,7,-19,5,mixed
591,215,152.094527,2,1,0,-11,17,-5,mixed
592,217,20.3166596,1,1,1,-4,15,-14,mixed
593,217,20.3166596,1,1,1,2,-17,12,mixed
594,219,57.0860407,1,1,0,6,-4,13,asymmetric_tilt
595,219,57.0860407,1,1,0,6,-6,1,asymmetric_tilt
