id,sigma,misorientation_angle_deg,axis_h,axis_k,axis_l,plane_h,plane_k,plane_l,gb_type
1033,215,45.9449785,9,7,1,-105,153,89,unclassified
1034,215,45.9449785,11,3,1,-10,-123,49,unclassified
1035,215,45.9449785,11,3,1,-5,3,46,unclassified
1036,215,45.9449785,11,3,1,-4,11,11,unclassified
1037,215,45.9449785,11,3,1,-75,-84,2,unclassified
1038,215,45.9449785,11,3,1,25,-101,243,unclassified
1039,225,51.6838655,11,7,1,107,-251,355,unclassified
1040,225,51.6838655,11,7,1,-53,89,5,unclassified
1041,225,51.6838655,11,7,1,103,-229,245,unclassified
1042,229,33.2543484,1,1,1,125,71,33,unclassified
1043,229,33.2543484,1,1,1,95,-1,135,unclassified
1044,229,33.2543484,1,1,1,66,21,142,unclassified
1045,243,49.7525106,6,5,5,347,97,167,unclassified
1046,245,36.8698976,6,3,2,41,-207,65,unclassified
1047,245,36.8698976,6,3,2,-54,183,10,unclassified
1048,245,60.8068626,11,11,3,-9,-295,53,unclassified
1049,245,60.8068626,11,11,3,283,75,239,unclassified
1050,253,48.5431866,11,5,5,-193,-145,13,unclassified
1051,253,48.5431866,11,5,5,-205,137,61,unclassified
1052,253,48.5431866,11,5,5,-195,155,21,unclassified
1053,253,48.5431866,11,5,5,-339,-3,91,unclassified
1054,265,4.9791058,1,0,0,265,-29,393,unclassified
1055,265,4.9791058,1,0,0,265,46,263,unclassified
1056,273,40.5293432,9,7,1,-40,-29,17,unclassified
1057,273,40.5293432,9,7,1,-19,-57,24,unclassified
1058,279,17.8965511,5,1,1,-179,5,53,unclassified
1059,279,17.8965511,5,1,1,275,-614,355,unclassified
1060,283,22.4777206,5,3,3,127,121,139,unclassified
1061,283,22.4777206,5,3,3,102,193,203,unclassified
1062,283,44.744956,9,1,0,-237,-131,403,unclassified
1063,283,44.744956,9,1,0,-857,-211,459,unclassified
1064,289,47.5659994,9,3,2,23,-459,7,unclassified
1065,289,47.5659994,9,3,2,-33,-221,191,unclassified
1066,297,38.6344897,6,5,2,265,95,7,unclassified
1067,297,38.6344897,6,5,2,-299,173,19,unclassified
1068,303,24.825493,3,2,1,-139,179,59,unclassified
1069,303,24.825493,3,2,1,-91,224,128,unclassified
1070,315,57.5537661,9,8,1,89,43,115,unclassified
1071,325,27.7957725,7,5,1,157,-725,1551,unclassified
1072,325,27.7957725,7,5,1,257,-425,1,unclassified
1073,325,27.7957725,7,5,1,-19,-525,483,unclassified
1074,325,27.7957725,7,5,1,569,-425,417,unclassified
1075,363,53.6805663,7,4,3,-76,-128,227,unclassified
1076,363,53.6805663,7,4,3,-167,-415,217,unclassified
1077,369,48.708394,11,9,7,577,-283,37,unclassified
1078,369,48.708394,11,9,7,481,-493,247,unclassified
1079,375,57.2255492,6,5,5,-235,-221,53,unclassified
1080,375,57.2255492,6,5,5,-185,-241,163,unclassified
1081,383,59.3935452,7,6,3,351,-83,113,unclassified
1082,383,59.3935452,7,6,3,527,-584,449,unclassified
1083,441,49.2271953,11,4,4,-461,-481,95,unclassified
1084,441,49.2271953,11,4,4,311,181,397,unclassified
1085,447,41.069346,10,3,1,-419,-95,5,unclassified
